,Class #,Subject,Cat#,Sect#,Course Name,Crdt,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Room #,Zoom Links
"Glb, Imm:FrLangCult",16927,MLFR,201,601,Beginning French I,4,4,Kadi,25,TR,12:00 PM,1:50 PM,,
"Glb, Imm:FrLangCult",17004,MLFR,201,602,Beginning French I,4,4,Kadi,25,MW,1:05 PM,2:55 PM,,
"Glb, Imm:FrLangCult",16842,MLFR,202,600,Beginning French II,4,4,Kadi,25,MW,9:00 AM,10:50 AM,,
Glb,17027,MLSP,201A,600,Beginning Spanish I,4,4,Pandor,25,TR,9:30 AM,11:20 AM,,
Glb,17028,MLSP,201A,601,Beginning Spanish I,4,4,Pandor,25,TR,11:30 AM,1:20 PM,,
"Eth, Imm:Ethics*",16860,PHIL,202,600,Found of Moral Philosophy,3,3,Lydia Barry,30,MWF,9:00 AM,9:55 AM,,
"Eth, Imm:Ethics*",17087,PHIL,202,601,Found of Moral Philosophy,3,3,Lydia Barry,30,MWF,11:10 AM,12:05 PM,,
"Eth, Imm:Ethics*",17522,PHIL,202,602,Found of Moral Philosophy,3,3,Lydia Barry,30,TR,9:00 AM,10:20 AM,,
"Eth, Imm:Ethics*",17523,PHIL,202,603,Found of Moral Philosophy,3,3,Lydia Barry,30,TR,12:00 PM,1:20 PM,,
"Eth, Imm:Ethics*",17524,PHIL,202,604,Found of Moral Philosophy,3,3,Lydia Barry,30,TBD,TBD,TBD,,
"Eth, Glb, Soc, Imm:Ethics",17030,PHIL,305,600,Philosophy of Peace,3,3,Pitt,25,TR,9:00 AM,10:20 AM,,
"Imm:Ethics, WI",17031,PHIL,403,600,Social and Political Philosophy,3,3,Pitt,25,MW,4:05 PM,5:25 PM,,
"Soc, SciPrin (Bus,CIT)",16789,PSYC,101,600,Intro Psychology,3,3,Maaham,35,MWF,9:00 AM,9:55 AM,,
"Soc, SciPrin (Bus,CIT)",16790,PSYC,101,601,Intro Psychology,3,3,Maaham,35,TR,10:30 AM,11:50 AM,,
"Soc, SciPrin (Bus,CIT)",17032,PSYC,101,602,Intro Psychology,3,3,Maaham,35,MWF,11:10 AM,12:05 PM,,
"Soc, SciPrin (Bus,CIT)",17033,PSYC,101,603,Intro Psychology,3,3,Maaham,35,TR,1:30 AM,2:50 AM,,
"Soc, SciPrin (Bus,CIT)",17097,PSYC,101,604,Intro Psychology,3,3,Maaham,35,MW,2:35 PM,3:55 PM,,
"Soc, SciPrin (Bus,CIT)",17103,PSYC,101,605,Intro Psychology,3,3,McCarthy,35,TR,4:30 PM,5:50 PM,,
"Psyc; Soc, SciPrin (Bus,CIT)",17508,PSYC,101,606,Intro Psychology,3,3,Albina TBC,35,TBD,TBD,TBD,,
"Psyc; Soc, SciPrin (Bus,CIT)",17509,PSYC,101,607,Intro Psychology,3,3,Albina TBC,35,TBD,TBD,TBD,,
"Psyc; Soc, Imm:Psyc",16791,PSYC,225,600,Social Psychology,3,3,McCarthy,30,MW,4:05 PM,5:25 PM,,
"Psyc; Soc, Imm:Psyc",17510,PSYC,225,601,Social Psychology,3,3,McCarthy,30,TR,1:30 PM,2:50 PM,,
Psyc; Imm:Psyc,16866,PSYC,241,600,Health Psychology,3,3,Ana Havelka Mestrovic <ana.havelka-mestrovic@croatia.rit.edu>,30,TR,9:00 AM,10:20 AM,,
Psyc; Imm:Psyc,17511,PSYC,241,601,Health Psychology,3,3,Ana,30,MWF,10:05 AM,11:00 AM,,
Psych,17512,PSYC,250,600,Research Methods I,3,3,McCarthy,20,MW,2:35 PM,3:55 PM,,
,16819,UWRT,100,600,Critical Reading and Writing,3,3,TBD,20,MWF,9:00 AM,9:55 AM,,
,16820,UWRT,100,601,Critical Reading and Writing,3,3,TBD,20,TR,10:30 AM,11:50 AM,,
,16821,UWRT,100,602,Critical Reading and Writing,3,3,TBD,20,MWF,11:10 AM,12:05 PM,,
,16822,UWRT,100,603,Critical Reading and Writing,3,3,TBD,20,MWF,10:05 AM,11:00 AM,,
,16923,UWRT,100,604,Critical Reading and Writing,3,3,TBD,20,TR,2:35 PM,3:55 PM,,
,16928,UWRT,100,605,Critical Reading and Writing,3,3,TBD,20,TR,1:30 PM,2:50 PM,,
,16999,UWRT,100,606,Critical Reading and Writing,3,3,TBD,20,TR,4:30 PM,5:50 PM,,
all,16857,UWRT,150,600,Writing,3,3,Mirosh Thomas,20,TR,9:00 AM,10:20 AM,,
all,16792,UWRT,150,601,Writing,3,3,Mirosh Thomas,20,TR,12:00 PM,1:20 PM,,
all,16793,UWRT,150,602,Writing,3,3,Mirosh Thomas,20,MW,1:05 PM,2:25 PM,,
all,16987,UWRT,150,603,Writing,3,3,TBD,20,TR,1:30 PM,2:50 PM,,
all,16794,UWRT,150,604,Writing,3,3,TBD,20,MWF,11:10 AM,12:05 PM,,
all,16795,UWRT,150,605,Writing,3,3,TBD,20,MWF,10:05 AM,11:00 AM,,
all,16929,UWRT,150,606,Writing,3,3,TBD,20,TR,4:05 PM,5:25 PM,,
all,16930,UWRT,150,607,Writing,3,3,TBD,20,TR,3:00 PM,4:20 PM,,
all,16935,UWRT,150,608,Writing,3,3,TBD,20,TR,4:30 PM,5:50 PM,,
all,16997,UWRT,150,609,Writing,3,3,TBD,20,MWF,9:00 AM,9:55 AM,,
all,16998,UWRT,150,610,Writing,3,3,TBD,20,TR,10:30 AM,11:50 AM,,
all,17011,UWRT,150,611,Writing,3,3,TBD,20,MW,2:35 PM,3:55 PM,,
all,17035,UWRT,150,612,Writing,3,3,TBD,20,TR,1:30 PM,2:50 PM,,
all,17036,UWRT,150,613,Writing,3,3,TBD,20,MW,4:05 PM,5:25 PM,,
,,,,,MATH/SCIENCE,,,,,,,,,
"SciPrin, NatSci",16964,BIOG,140,600,Cell & Molecular Biology for Engnrs I,3,2,Hassan,24,M,1:05 PM,2:55 PM,,
,16965,"""","""",60L1,Cell & Molecular Biology for Engnrs I Lab,0,3,Hassan,24,W,1:05 PM,3:55 PM,,
"SciPrin (Bus,ME), LabSci(CSec)",16716,BIOL,101,600,Gen Biology I,3,3,Amawi,30,TR,1:30 PM,2:50 PM,,
"SciPrin (Bus,ME), LabSci(CSec)",16718,BIOL,101,601,Gen Biology I,3,3,Hassan,30,TR,4:30 PM,5:50 PM,,
,17101,BIOL,101,602,Gen Biology I,3,3,Hassan,30,MW,4:05 PM,5:25 PM,,
,17046,BIOl,102,600,General Biology II,3,3,Amawi,30,MW,1:05 PM,2:25 PM,,
,17513,BIOl,102,601,General Biology II,3,3,Amawi,30,MW,2:35 PM,3:55 PM,,
"SciPrin, LabSci (CSec)",16966,BIOL,103,600,Gen Biology I Lab,1,3,Hassan,24,T,1:30 PM,4:20 PM,,
,17514,BIOL,103,601,Gen Biology I Lab,1,3,Hassan,24,W,9:00 AM,11:50 AM,,
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)",16878,CHMG,141,600,General and Analytical Chemistry I,3,3,Ashmawy,30,TR,9:00 AM,10:20 AM,,
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)","16879
",CHMG,141,601,General and Analytical Chemistry I,3,3,Ashmawy,30,TR,10:30 AM,11:50 AM,,
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)",17091,CHMG,141,602,General and Analytical Chemistry I,3,3,Ashmawy,30,MW,1:05 PM,2:25 PM,,
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)","17104
",CHMG,141,603,General and Analytical Chemistry I,3,3,Ashmawy,30,MW,2:35 PM,3:55 PM,,
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)",17515,CHMG,141,604,General and Analytical Chemistry I,3,3,Ashmawy,30,MWF,9:00 AM,9:55 AM,,
"SciPrin (ME), LabSci(CSec)",17022,CHMG,142,600,General and Analytical Chemistry II,3,3,Amawi,30,TR,12:00 PM,1:20 PM,,
,16967,CHMG,145,600,General and Analytical Chemistry I Lab,1,3,Ashmawy,30,TR,1:30 PM,2:50 PM,,
0,16669,MATH,90,600,Algebra,0,3,TBD,30,TR,9:00 AM,10:20 AM,,
0,17537,MATH,90,601,Algebra,0,3,TBD,30,TR,12:00 PM,1:20 PM,,
1,16670,MATH,101,600,College Algebra,3,3,Naghshineh,30,TR,10:30 AM,11:50 AM,,
1,16933,MATH,101,601,College Algebra,3,3,TBD,30,MW,2:35 PM,3:55 PM,,
1,17106,MATH,101,602,College Algebra,3,3,TBD,30,TR,9:00 AM,10:20 AM,,
1,17538,MATH,101,603,College Algebra,3,3,TBD,30,TR,1:30 PM,2:50 PM,,
"1 ME, EE, Csec",16672,MATH,111,600,Precalculus,3,3,TBD,30,MWF,9:00 AM,9:55 AM,,
,16893,"""","""",60R1,Precalculus Recitation,,,TBD,,MWF,11:10 AM,12:05 PM,,
"1 ME, EE, Csec",16677,MATH,111,601,Precalculus,3,,TBD,30,TRF,3:00 PM,4:20 PM,,
,16894,"""","""",60R2,Precalculus Recitation,,,TBD,,TRF,10:05 AM,11:00 AM,,
,17001,MATH,111,602,Precalculus,3,,TBD,30,TRF,1:30 PM,2:50 PM,,
,17002,"""","""",60R3,Precalculus Recitation,,,TBD,,TRF,9:00 AM,9:55 AM,,
"Bus, CIT",16678,MATH,161,600,Applied Calculus,4,4,Naghshineh,30,MW,9:00 AM,10:50 AM,,
"Bus, CIT",16920,MATH,161,601,Applied Calculus,4,4,Naghshineh,30,MW,1:05 PM,2:55 PM,,
,16995,MATH,161,602,Applied Calculus ,4,4,Naghshineh,30,TR,12:00 PM,1:50 PM,,
,17088,MATH,161,603,Applied Calculus ,4,4,TBD,30,MW,4:05 PM,5:55 PM,,
,17539,MATH,161,604,Applied Calculus ,4,4,TBD,30,MW,10:05 AM,12:05 PM,,
"1 ME, EE, Csec",16682,MATH,181,600,Calculus I,4,6,Sayyad,30,TR,9:00 AM,11:50 AM,,
,16682,"""","""","""",Recitation,,,TBD,,,,,,
"1 ME, EE, Csec",16683,MATH,181,601,Calculus I,4,6,Sayyad,30,MW,2:35 PM,5:25 PM,,
,16683,"""","""","""",Recitation,"""","""",TBD,,,,,,
"1 ME, EE, Csec",16684,MATH,181,602,Calculus I,4,6,Al-Khamaiseh,30,TR,12:00 PM,2:50 PM,,
,16684,"""","""","""",Recitation,"""","""",TBD,,,,,,
,17077,MATH,181,603,Calculus I,4,6,Al-Khamaiseh,30,TR,3:00 PM,5:50 PM,,
,17077,"""","""","""",Recitation,,,TBD,,,,,,
"1 ME, EE, Csec",17540,MATH,181,604,Calculus I,4,6,Al-Khamaiseh,30,MWF,9:00 AM,11:00 AM,,
,17540,"""","""","""",Recitation,,,TBD,,MWF,9:00 AM,11:00 AM,,
"ME, EE, IE, Csec",16686,MATH,182,600,Calculus II ,4,6,Borghol,30,TR,9:00 AM,11:50 AM,,
,,"""","""","""",Recitation,"""","""",TBD,,,,,,
"ME, EE, IE, Csec",16687,MATH,182,601,Calculus II,4,6,Borghol,30,MW,10:05 AM,12:05 PM,,
,16687,"""","""","""",Recitation,,,TBD,,F,10:05 AM,12:05 PM,,
2 Csec,16693,MATH,190,600,Discrete Math for Computing,3,3,TBD,30,MWF,4:05 PM,5:25 PM,,
,17542,MATH,190,60R1,Recitation,,,TBD,,MWF,11:10 AM,12:05 PM,,
2 Csec,17541,MATH,190,601,Discrete Math for Computing,3,3,TBD,30,MWF,1:05 PM,2:25 PM,,
,17543,MATH,190,60R2,Recitation,,,TBD,,MWF,10:05 AM,11:00 AM,,
"2 ME, EE",16694,MATH,219,600,Multivariable Calculus,3,3,Maki,30,TR,3:00 PM,4:20 PM,,
"2 EE, IE",17071,MATH,220,600,Vector Calculus,1,1,Maki,30,M,11:10 AM,12:05 PM,,
,17544,MATH,221,600,Multivar & Vector Calculus,4,4,Sayyad,30,TR,3:00 PM,5:00 PM,,
"2 ME,EE",16696,MATH,231,600,Differential Equations,3,3,Borghol,30,MW,1:05 PM,2:25 PM,,
"3/4 ME, EE, CSec",16869,MATH,241,601,Linear Algebra,3,3,Ahmad,30,TR,4:30 PM,5:50 PM,,
"3/4 EE, Csec, 2 IE",16699,MATH,251,600,Probability & Stats I,3,3,TBD,30,TR,4:30 PM,5:50 PM,,
,,"""","""","""",Recitation,"""","""",TBD,30,TBD,TBD,TBD,,
"3/4 EE, Csec, 2 IE",16870,MATH,251,601,Probability & Stats I,3,3,Maki,30,MW,4:05 PM,5:25 PM,,
,,"""","""","""",Recitation,"""","""",TBD,30,TBD,TBD,TBD,,
"3/4 EE, Csec, 2 IE",17078,MATH,251,602,Probability & Stats I,3,3,TBD,30,TR,12:00 PM,1:20 PM,,
,,"""","""","""",Recitation,"""","""",TBD,30,TBD,TBD,TBD,,
3/4 ME,16701,MATH,326,600,BVPs,3,3,Maki,30,TR,1:30 PM,2:50 PM,,
EE,16709,MATH,381,600,Complex Variables,3,3,Maki,30,MW,2:35 PM,3:55 PM,,
"EE, CSec",16814,PHYS,211,600,Univ Physics I,4,6,Ahmad,30,TR,10:30 AM,1:20 PM,,
"ME,EE,CSec",16815,PHYS,212,600,Univ Physics II,4,6,Ahmad,30,MWF,9:00 AM,11:00 AM,,
"Bus, CIT",16712,STAT,145,600,Intro Statistics I,3,3,TBD,30,TR,3:00 PM,4:20 PM,,
"Bus, CIT",16813,STAT,145,601,Intro Statistics I,3,3,TBD,30,TR,4:30 PM,5:20 PM,,
"Bus, CIT",17013,STAT,145,602,Intro Statistics I,3,3,TBD,30,MW,2:35 PM,3:55 PM,,
"Bus, CIT",17090,STAT,145,603,Intro Statistics I ,3,3,TBD,30,MWF,10:05 AM,11:00 AM,,
"Bus, CIT",17504,STAT,145,604,Intro Statistics I ,3,3,TBD,30,MW,4:05 PM,5:25 PM,,
,,,,,ASC,,,,,,,,,
,,ACSC,61,600,Applied Study Strategies,0,2,Farag,15,,,,,
,,ACSC,61,601,Applied Study Strategies,0,2,Farag,15,,,,,
,,ACSC,61,602,Applied Study Strategies,0,2,Farag,15,,,,,
,,ACSC,61,603,Applied Study Strategies,0,2,Farag,15,,,,,
,16916,ACSC,80,600,Core Physics Concepts,0,3,TBD,24,MW,1:05 PM,2:25 PM,,
1,,YOPS,10,600,RIT 365,0,1,Farag,24,,,,,
1,,YOPS,10,601,RIT 365,0,1,Farag,24,,,,,
1,,YOPS,10,602,RIT 365,0,1,Waqar,24,,,,,
1,,YOPS,10,603,RIT 365,0,1,Hariri,24,,,,,
1,,YOPS,10,604,RIT 365,0,1,Hariri,24,,,,,
1,,YOPS,10,605,RIT 365,0,1,Hussein,24,,,,,
1,,YOPS,10,606,RIT 365,0,1,TBD,24,,,,,
,,YOPS,10,607,RIT 365 ,0,1,Hariri,24,,,,,
,,YOPS,10,608,RIT 365 ,0,1,Hariri,24,,,,,
,,YOPS,10,609,RIT 365 ,0,1,Hammouda,24,,,,,
,,YOPS,10,610,RIT 365 ,0,1,Hammouda,24,,,,,
,,YOPS,10,611,RIT 365 ,0,1,Hammouda,24,,,,,
,,YOPS,10,612,RIT 365 ,0,1,Al Mouhamed ,24,,,,,
,,YOPS,10,613,RIT 365 ,0,1,Al Mouhamed ,24,,,,,
,,YOPS,10,614,RIT 365 ,0,1,Al Mouhamed ,24,,,,,
,,YOPS,10,615,RIT 365 ,0,1,Hammouda,24,,,,,
